"filename", "language", "CSS", "TypeScript React", "TypeScript", "comment", "blank", "total"
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\blog\index.tsx", "TypeScript React", 0, 66, 0, 0, 1, 67
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\blogs\index.tsx", "TypeScript React", 0, 37, 0, 0, 1, 38
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\button\index.tsx", "TypeScript React", 0, 36, 0, 0, 4, 40
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\card\index.tsx", "TypeScript React", 0, 87, 0, 0, 2, 89
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\customer_say\index.tsx", "TypeScript React", 0, 73, 0, 0, 4, 77
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\footer\index.tsx", "TypeScript React", 0, 67, 0, 0, 3, 70
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\heroBanner\index.tsx", "TypeScript React", 0, 23, 0, 0, 2, 25
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\home\index.tsx", "TypeScript React", 0, 57, 0, 0, 3, 60
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\index.ts", "TypeScript", 0, 0, 28, 0, 1, 29
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\layoutes\index.tsx", "TypeScript React", 0, 13, 0, 0, 3, 16
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\loader\index.tsx", "TypeScript React", 0, 10, 0, 0, 2, 12
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\navbar\index.tsx", "TypeScript React", 0, 71, 0, 0, 1, 72
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\product\index.tsx", "TypeScript React", 0, 102, 0, 0, 4, 106
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\products\index.tsx", "TypeScript React", 0, 56, 0, 0, 2, 58
"c:\Users\junaid\Desktop\project\asm-towhid\src\components\search_box\index.tsx", "TypeScript React", 0, 52, 0, 0, 2, 54
"c:\Users\junaid\Desktop\project\asm-towhid\src\interfaces\index.ts", "TypeScript", 0, 0, 65, 0, 3, 68
"c:\Users\junaid\Desktop\project\asm-towhid\src\pages\404.tsx", "TypeScript React", 0, 19, 0, 0, 2, 21
"c:\Users\junaid\Desktop\project\asm-towhid\src\pages\_app.tsx", "TypeScript React", 0, 12, 0, 0, 2, 14
"c:\Users\junaid\Desktop\project\asm-towhid\src\pages\_document.tsx", "TypeScript React", 0, 12, 0, 0, 2, 14
"c:\Users\junaid\Desktop\project\asm-towhid\src\pages\api\hello.ts", "TypeScript", 0, 0, 10, 1, 3, 14
"c:\Users\junaid\Desktop\project\asm-towhid\src\pages\index.tsx", "TypeScript React", 0, 22, 0, 0, 2, 24
"c:\Users\junaid\Desktop\project\asm-towhid\src\pages\products\[productId]\index.tsx", "TypeScript React", 0, 17, 0, 1, 3, 21
"c:\Users\junaid\Desktop\project\asm-towhid\src\redux\api\index.ts", "TypeScript", 0, 0, 19, 0, 2, 21
"c:\Users\junaid\Desktop\project\asm-towhid\src\redux\slices\product.slice.ts", "TypeScript", 0, 0, 73, 0, 2, 75
"c:\Users\junaid\Desktop\project\asm-towhid\src\redux\slices\search.slice.ts", "TypeScript", 0, 0, 16, 1, 2, 19
"c:\Users\junaid\Desktop\project\asm-towhid\src\redux\store\index.ts", "TypeScript", 0, 0, 16, 0, 2, 18
"c:\Users\junaid\Desktop\project\asm-towhid\src\styles\Home.module.css", "CSS", 236, 0, 0, 5, 38, 279
"c:\Users\junaid\Desktop\project\asm-towhid\src\styles\card.module.css", "CSS", 49, 0, 0, 0, 1, 50
"c:\Users\junaid\Desktop\project\asm-towhid\src\styles\globals.css", "CSS", 48, 0, 0, 0, 4, 52
"c:\Users\junaid\Desktop\project\asm-towhid\src\styles\herobanner.module.css", "CSS", 40, 0, 0, 0, 1, 41
"c:\Users\junaid\Desktop\project\asm-towhid\src\styles\product.module.css", "CSS", 15, 0, 0, 0, 2, 17
"c:\Users\junaid\Desktop\project\asm-towhid\src\styles\search-box.module.css", "CSS", 31, 0, 0, 0, 1, 32
"Total", "-", 419, 832, 227, 8, 107, 1593